cve_muni,tamloc_mediana,grado_marginacion
20215,1,Medio
20216,1,Alto
20217,1,Muy alto
20218,1,Alto
20219,1.5,Alto
20220,1,Alto
20221,1,Alto
20222,1,Alto
20223,1,Alto
20224,1,Medio
20225,1,Muy alto
20226,1,Alto
20227,1.5,Muy bajo
20228,1,Muy alto
20229,1,Muy alto
20230,1,Medio
20231,1.5,Muy alto
20232,1.5,Muy alto
20233,1,Alto
20234,1,Muy alto
20235,1,Muy alto
20236,1,Muy alto
20237,1,Medio
20238,1,Alto
20239,1,Alto
20240,1,Muy alto
20241,1,Alto
20242,1.5,Muy alto
20243,1,Medio
20244,1,Alto
20245,1,Alto
20246,1,Alto
20247,1,Bajo
20248,1.5,Muy alto
20249,1.5,Alto
20250,1,Alto
20251,1,Muy alto
20252,1,Muy alto
20253,1,Muy alto
20254,1,Alto
20255,1,Muy alto
20256,1,Medio
20257,1,Muy alto
20258,1,Alto
20259,1,Muy alto
20260,1,Alto
20261,1,Alto
20262,1,Medio
20263,1,Muy alto
20264,1,Muy alto
20265,1,Alto
20266,1,Muy alto
20267,1,Bajo
20268,1,Alto
20269,1,Alto
20270,1,Muy alto
20271,1,Muy alto
20272,1.5,Muy alto
20273,1,Muy alto
20274,1,Alto
20275,1.5,Alto
20276,1,Muy alto
20277,1,Muy alto
20278,1.5,Alto
20279,1,Alto
20280,1,Medio
20281,1,Medio
20282,1,Alto
20283,1,Alto
20284,1.5,Muy alto
20285,1,Alto
20286,1,Alto
20287,1,Alto
20288,1,Alto
20289,1,Alto
20290,1,Alto
20291,1,Alto
20292,1,Alto
20293,1.5,Muy bajo
20294,1.5,Bajo
20295,1.5,Bajo
20296,1,Medio
20297,1,Muy alto
20298,1.5,Medio
20299,1,Alto
20300,1.5,Alto
20301,1,Alto
20302,1.5,Muy alto
20303,1,Medio
20304,1,Alto
20305,2,Bajo
20306,1,Muy alto
20307,1,Alto
20308,1.5,Alto
20309,1.5,Muy alto
20310,1.5,Alto
20311,1,Muy alto
20312,1.5,Muy alto
20313,1,Alto
20314,1,Medio
20315,1,Muy alto
20316,1,Alto
20317,1,Alto
20318,2,Bajo
20319,1,Alto
20320,1,Medio
20321,1,Alto
20322,1,Alto
20323,1,Alto
20324,1.5,Alto
20325,1.5,Alto
20326,1,Muy alto
20327,1.5,Alto
20328,1,Muy alto
20329,1,Alto
20330,1,Muy alto
20331,1,Alto
20332,1,Medio
20333,1,Medio
20334,1.5,Alto
20335,1,Muy alto
20336,1,Alto
20337,1,Muy alto
20338,1.5,Bajo
20339,1,Medio
20340,1,Alto
20341,1,Medio
20342,1,Bajo
20343,1,Alto
20344,1,Alto
20345,1,Alto
20346,1,Alto
20347,1,Muy alto
20348,1,Alto
20349,1,Alto
20350,1.5,Muy bajo
20351,1,Alto
20352,1,Muy alto
20353,1,Alto
20354,1,Muy alto
20355,1,Muy alto
20356,1,Alto
20357,1,Alto
20358,1,Alto
20359,1,Medio
20360,1.5,Alto
20361,1,Alto
20362,1,Medio
20363,1,Medio
20364,1.5,Alto
20365,1,Medio
20366,1.5,Muy alto
20367,1.5,Muy alto
20368,1,Alto
20369,1,Medio
20370,1,Alto
20371,1,Alto
20372,1,Muy alto
20373,1,Alto
20374,1,Muy alto
20375,2,Muy bajo
20376,1,Medio
20377,1,Alto
20378,1,Alto
20379,1,Muy alto
20380,1,Alto
20381,1,Alto
20382,1,Muy alto
20383,1,Medio
20384,1.5,Muy alto
20385,2.5,Bajo
20386,1,Muy alto
20387,1,Medio
20388,1,Muy alto
20389,1,Muy alto
20390,2.5,Muy bajo
20391,1,Muy alto
20392,1,Muy alto
20393,1.5,Muy alto
20394,1,Alto
20395,1,Muy alto
20396,1,Muy alto
20397,2,Medio
20398,1.5,Medio
20399,2,Bajo
20400,1,Alto
20401,1.5,Medio
20402,1,Alto
20403,1,Bajo
20404,1,Medio
20405,1,Alto
20406,1,Muy alto
20407,1.5,Muy alto
20408,1,Medio
20409,1.5,Muy bajo
20410,1,Alto
20411,1,Medio
20412,1,Muy alto
20413,2,Bajo
20414,1.5,Alto
20415,1,Alto
20416,1,Alto
20417,1,Alto
20418,1.5,Medio
20419,1,Medio
20420,1,Alto
20421,1.5,Medio
20422,1,Alto
20423,1,Alto
20424,1,Muy alto
20425,1,Muy alto
20426,1,Muy alto
20427,1,Medio
20428,1,Muy alto
20429,1,Muy alto
20430,1,Alto
20431,1,Medio
20432,1,Medio
20433,1,Muy alto
20434,1,Muy alto
20435,1,Muy alto
20436,1,Muy alto
20437,1.5,Muy alto
20438,1,Muy alto
20439,1,Alto
20440,1,Alto
20441,1.5,Alto
20442,1,Medio
20443,1,Bajo
20444,1,Muy alto
20445,1,Alto
20446,1,Alto
20447,1.5,Alto
20448,1,Muy alto
20449,1,Alto
20450,1,Muy alto
20451,1,Muy alto
20452,1.5,Alto
20453,1,Medio
20454,1,Muy alto
20455,1,Alto
20456,1,Medio
20457,1,Muy alto
20458,1,Alto
20459,1,Medio
20460,1,Muy alto
20461,1,Alto
20462,1,Medio
20463,1,Alto
20464,1,Alto
20465,1,Alto
20466,1,Muy alto
20467,1.5,Alto
20468,1,Alto
20469,1.5,Alto
20470,1,Alto
20471,1,Alto
20472,1.5,Medio
20473,1,Alto
20474,1,Alto
20475,1.5,Alto
20476,1,Alto
20477,1,Muy alto
20478,1,Alto
20479,1,Alto
20480,1,Muy alto
20481,1,Alto
20482,2,Alto
20483,1.5,Medio
20484,1,Alto
20485,1,Muy alto
20486,1,Medio
20487,1,Alto
20488,1,Alto
20489,1,Muy alto
20490,1,Alto
20491,1,Alto
20492,1,Muy alto
20493,1,Medio
20494,1,Muy alto
20495,1,Muy alto
20496,1,Bajo
20497,2,Muy alto
20498,1,Muy alto
20499,1,Bajo
20500,1,Muy alto
20501,1,Alto
20502,1,Muy alto
20503,1,Medio
20504,1,Alto
20505,1.5,Medio
20506,1,Medio
20507,1.5,Alto
20508,1,Medio
20509,1,Muy alto
20510,1,Alto
20511,1,Muy alto
20512,1,Muy alto
20513,1.5,Alto
20514,1,Muy alto
20515,2,Medio
20516,1,Alto
20517,1,Muy alto
20518,1,Alto
20519,1,Medio
20520,1.5,Alto
20521,1,Alto
20522,1,Muy alto
20523,1,Medio
20524,1,Medio
20525,1.5,Medio
20526,1.5,Alto
20527,1,Alto
20528,1,Medio
20529,1,Muy alto
20530,1,Alto
20531,1,Medio
20532,1,Muy alto
20533,1,Medio
20534,1.5,Muy alto
20535,1,Muy alto
20536,1,Alto
20537,1,Alto
20538,1,Alto
20539,1.5,Bajo
20540,1.5,Bajo
20541,1,Alto
20542,1,Alto
20543,1.5,Muy alto
20544,1,Alto
20545,1.5,Bajo
20546,1.5,Alto
20547,1,Alto
20548,1,Alto
20549,1,Alto
20550,1.5,Alto
20551,1.5,Bajo
20552,1,Medio
20553,1.5,Bajo
20554,1,Alto
20555,1,Alto
20556,1,Alto
20557,1.5,Bajo
20558,1,Medio
20559,1.5,Alto
20560,1.5,Alto
20561,2,Alto
20562,1,Medio
20563,1,Muy alto
20564,1,Muy alto
20565,1.5,Medio
20566,1,Muy alto
20567,1,Muy alto
20568,1,Alto
20569,1,Muy alto
20570,1.5,Medio
21001,2,Medio
21002,1.5,Alto
21003,2,Medio
21004,2,Medio
21005,1,Muy alto
21006,1.5,Muy alto
21007,1,Alto
21008,1,Medio
21009,1,Alto
21010,2,Muy alto
21011,1,Alto
21012,1.5,Alto
21013,2,Medio
21014,1.5,Muy alto
21015,2.5,Bajo
21016,1,Alto
21017,1.5,Alto
21018,1,Alto
21019,2,Bajo
21020,1.5,Medio
21021,1,Medio
21022,1.5,Alto
21023,1.5,Alto
21024,1,Medio
21025,1.5,Alto
21026,1.5,Medio
21027,1,Alto
21028,1,Muy alto
21029,1.5,Alto
21030,1,Muy alto
21031,1,Alto
21032,1,Alto
21033,1,Alto
21034,1.5,Bajo
21035,1.5,Alto
21036,1,Muy alto
21037,1,Alto
21038,1.5,Medio
21039,1,Alto
21040,1,Alto
21041,2,Muy bajo
21042,1,Alto
21043,1.5,Alto
21044,1.5,Medio
21045,2,Medio
21046,1.5,Medio
21047,1.5,Medio
21048,1.5,Medio
21049,1.5,Muy alto
21050,1.5,Alto
21051,1.5,Medio
21052,1,Alto
21053,2,Medio
21054,1.5,Alto
21055,1,Alto
21056,1,Medio
21057,1,Alto
21058,1.5,Muy alto
21059,1,Alto
21060,1.5,Medio
21061,1,Muy alto
21062,1,Alto
21063,1.5,Medio
21064,1.5,Alto
21065,1.5,Medio
21066,1,Alto
21067,1.5,Medio
21068,1,Muy alto
21069,1.5,Alto
21070,1,Alto
21071,2,Medio
21072,1,Muy alto
21073,1.5,Alto
21074,2,Bajo
21075,1.5,Alto
21076,1.5,Alto
21077,1,Muy alto
21078,1.5,Muy alto
21079,1.5,Medio
21080,1,Muy alto
21081,1,Alto
21082,1.5,Medio
21083,1,Alto
21084,1.5,Muy alto
21085,2,Medio
21086,1,Muy alto
21087,1.5,Alto
21088,1,Muy alto
21089,1.5,Muy alto
21090,1.5,Bajo
21091,1.5,Bajo
21092,1,Alto
21093,1,Alto
21094,2,Medio
21095,1,Medio
21096,1,Medio
21097,1,Medio
21098,1,Alto
21099,1.5,Alto
21100,1,Alto
21101,1,Alto
21102,1.5,Bajo
21103,1.5,Alto
21104,1.5,Medio
21105,1,Alto
21106,1.5,Alto
21107,1,Muy alto
21108,1.5,Medio
21109,1.5,Muy alto
21110,1.5,Alto
21111,1.5,Muy alto
21112,1.5,Alto
21113,1,Medio
21114,2,Muy bajo
21115,2,Alto
21116,1,Alto
21117,2,Bajo
21118,2,Medio
21119,2.5,Muy bajo
21120,1,Alto
21121,1,Alto
21122,1.5,Medio
21123,1,Muy alto
21124,1.5,Alto
21125,1.5,Bajo
21126,1,Medio
21127,1,Alto
21128,1.5,Medio
21129,1.5,Alto
21130,1,Medio
21131,1,Medio
21132,2.5,Muy bajo
21133,1,Medio
21134,1.5,Bajo
21135,1,Alto
21136,1.5,Muy bajo
21137,1.5,Alto
21138,1.5,Alto
21139,1,Medio
21140,2.5,Muy bajo
21141,1,Alto
21142,2,Medio
21143,1.5,Bajo
21144,1.5,Medio
21145,1,Muy alto
21146,1,Alto
21147,1.5,Alto
21148,1,Alto
21149,1.5,Alto
21150,1,Alto
21151,1.5,Bajo
21152,1.5,Medio
21153,1.5,Bajo
21154,2,Bajo
21155,1.5,Alto
21156,2,Bajo
21157,1.5,Alto
21158,1,Alto
21159,1.5,Muy alto
21160,1,Alto
21161,1.5,Alto
21162,1.5,Muy alto
21163,2,Bajo
21164,2,Bajo
21165,1,Muy alto
21166,1.5,Alto
21167,1,Muy alto
21168,1.5,Alto
21169,1.5,Alto
21170,1.5,Alto
21171,1.5,Medio
21172,1.5,Alto
21173,1.5,Bajo
21174,2,Bajo
21175,1.5,Medio
21176,1.5,Medio
21177,1.5,Alto
21178,1,Muy alto
21179,1.5,Alto
21180,1.5,Medio
21181,1.5,Bajo
21182,1.5,Medio
21183,1.5,Muy alto
21184,1,Muy alto
21185,1.5,Alto
21186,1.5,Medio
21187,1,Muy alto
21188,1.5,Alto
21189,1.5,Medio
21190,1,Medio
21191,1.5,Alto
21192,1,Alto
21193,1,Alto
21194,1.5,Medio
21195,1.5,Muy alto
21196,1,Alto
21197,2,Medio
21198,1,Muy alto
21199,1.5,Alto
21200,1,Alto
21201,1,Alto
21202,1.5,Alto
21203,1.5,Alto
21204,1.5,Medio
21205,1.5,Medio
21206,1,Alto
21207,1.5,Alto
21208,2,Medio
21209,1.5,Alto
21210,1,Alto
21211,1.5,Bajo
21212,1.5,Alto
21213,1,Alto
21214,2,Medio
21215,1.5,Alto
21216,1,Muy alto
21217,1.5,Muy alto
22001,1.5,Alto
22002,1,Muy alto
22003,1,Medio
22004,1.5,Medio
22005,1.5,Medio
22006,2.5,Muy bajo
22007,1.5,Bajo
22008,1.5,Medio
22009,1.5,Medio
22010,1,Alto
22011,1.5,Bajo
22012,1.5,Bajo
22013,1,Medio
22014,2.5,Muy bajo
22015,1,Medio
22016,2,Muy bajo
22017,2,Bajo
22018,1.5,Medio
23001,2.5,Muy bajo
23002,2,Alto
23003,1.5,Bajo
23004,2,Bajo
23005,2,Muy bajo
23006,1.5,Alto
23007,1.5,Alto
23008,2,Muy bajo
23009,2,Bajo
23010,1.5,Alto
24001,1.5,Alto
24002,1,Alto
24003,1.5,Muy alto
24004,1,Alto
24005,2,Bajo
24006,1,Alto
24007,1.5,Bajo
24008,1.5,Bajo
24009,1,Bajo
24010,1.5,Medio
24011,2,Bajo
24012,1.5,Muy alto
24013,3,Bajo
24014,1.5,Alto
24015,1.5,Medio
24016,2,Medio
24017,1,Alto
24018,1,Alto
24019,1,Alto
24020,2.5,Muy bajo
24021,1.5,Medio
24022,1.5,Alto
24023,1.5,Medio
24024,2.5,Medio
24025,2,Medio
24026,1,Alto
24027,1.5,Medio
24028,2,Muy bajo
24029,1.5,Muy alto
24030,1,Alto
24031,1,Muy alto
24032,1.5,Medio
24033,1,Medio
24034,1.5,Medio
24035,2,Muy bajo
24036,1.5,Alto
24037,2,Alto
24038,1,Muy alto
24039,1.5,Alto
24040,2,Medio
24041,1,Alto
24042,1.5,Medio
24043,1.5,Medio
24044,1.5,Alto
24045,1.5,Alto
24046,1.5,Alto
24047,1,Alto
24048,1.5,Medio
24049,1.5,Medio
24050,1.5,Medio
24051,1.5,Medio
24052,1.5,Medio
24053,1.5,Medio
24054,1.5,Alto
24055,1.5,Medio
24056,1.5,Medio
24057,1.5,Alto
24058,1.5,Medio
25001,2,Muy bajo
25002,1.5,Bajo
25003,1.5,Alto
25004,1.5,Medio
25005,1.5,Alto
25006,2.5,Muy bajo
25007,1.5,Medio
25008,2,Medio
25009,2,Bajo
25010,1.5,Medio
25011,2.5,Bajo
25012,2,Muy bajo
25013,1.5,Medio
25014,2,Bajo
25015,2,Muy bajo
25016,1.5,Medio
25017,1.5,Medio
25018,2,Medio
26001,1,Bajo
26002,2.5,Muy bajo
26003,1.5,Medio
26004,1.5,Muy bajo
26005,1,Bajo
26006,1,Bajo
26007,1,Bajo
26008,1,Bajo
26009,1,Bajo
26010,1,Bajo
26011,1,Muy bajo
26012,1.5,Bajo
26013,1,Bajo
26014,1,Bajo
26015,1,Bajo
26016,1.5,Muy bajo
26017,2,Muy bajo
26018,2.5,Muy bajo
26019,2,Muy bajo
26020,1.5,Bajo
26021,1,Bajo
26022,1,Bajo
26023,1.5,Muy bajo
26024,1,Bajo
26025,2,Muy bajo
26026,1.5,Medio
26027,1.5,Muy bajo
26028,1,Muy bajo
26029,2,Muy bajo
26030,2.5,Muy bajo
26031,1,Bajo
26032,1,Bajo
26033,2,Bajo
26034,1,Bajo
26035,1.5,Muy bajo
26036,2,Muy bajo
26037,1,Muy bajo
26038,1.5,Muy bajo
26039,1.5,Muy bajo
26040,1,Bajo
26041,1.5,Muy bajo
26042,2,Bajo
26043,2,Muy bajo
26044,1,Medio
26045,1,Bajo
26046,1,Bajo
26047,1.5,Muy bajo
26048,2.5,Muy bajo
26049,1,Medio
26050,1,Bajo
26051,1.5,Medio
26052,1.5,Bajo
26053,1,Bajo
26054,1,Bajo
26055,2,Muy bajo
26056,1.5,Medio
26057,1,Bajo
26058,1.5,Muy bajo
26059,1,Bajo
26060,1,Bajo
26061,1,Bajo
26062,1,Muy bajo
26063,1,Muy bajo
26064,1,Bajo
26065,1,Bajo
26066,1.5,Muy bajo
26067,1,Bajo
26068,1,Bajo
26069,1.5,Medio
26070,1.5,Bajo
26071,1.5,Bajo
26072,1.5,Medio
27001,1.5,Medio
27002,2,Bajo
27003,2,Medio
27004,2.5,Muy bajo
27005,2,Bajo
27006,2,Medio
27007,2,Bajo
27008,2,Medio
27009,1.5,Medio
27010,2,Bajo
27011,1.5,Medio
27012,2,Bajo
27013,1.5,Muy bajo
27014,2,Muy bajo
27015,1.5,Medio
27016,2,Medio
27017,2,Medio
28001,1.5,Bajo
28002,1.5,Medio
28003,3,Muy bajo
28004,1.5,Medio
28005,1,Alto
28006,1,Alto
28007,1.5,Muy bajo
28008,1,Alto
28009,5,Muy bajo
28010,1,Medio
28011,1,Medio
28012,1.5,Medio
28013,1,Medio
28014,1.5,Bajo
28015,1.5,Bajo
28016,1.5,Medio
28017,1.5,Medio
28018,1.5,Medio
28019,1.5,Medio
28020,1,Medio
28021,2,Bajo
28022,2,Muy bajo
28023,1,Medio
28024,2,Muy bajo
28025,2,Muy bajo
28026,1,Alto
28027,2,Muy bajo
28028,1,Medio
28029,1.5,Alto
28030,1.5,Medio
28031,1,Medio
28032,3,Muy bajo
28033,2,Muy bajo
28034,1,Alto
28035,2,Bajo
28036,1,Alto
28037,1.5,Medio
28038,3,Muy bajo
28039,1.5,Alto
28040,2,Bajo
28041,3,Muy bajo
28042,1,Alto
28043,1.5,Bajo
29001,1.5,Muy bajo
29002,1.5,Muy bajo
29003,1,Medio
29004,1.5,Medio
29005,2,Muy bajo
29006,2,Muy bajo
29007,1.5,Medio
29008,1.5,Bajo
29009,1.5,Bajo
29010,2,Muy bajo
29011,1,Bajo
29012,1,Medio
29013,2,Bajo
29014,1.5,Bajo
29015,1.5,Bajo
29016,1.5,Bajo
29017,1.5,Bajo
29018,2,Bajo
29019,1.5,Bajo
29020,1.5,Bajo
29021,1.5,Bajo
29022,1,Bajo
29023,1.5,Bajo
29024,1.5,Muy bajo
29025,2,Bajo
29026,1.5,Bajo
29027,1.5,Bajo
29028,2,Bajo
29029,1.5,Bajo
29030,1.5,Medio
29031,2,Muy bajo
29032,1.5,Bajo
29033,2,Muy bajo
29034,1.5,Medio
29035,1.5,Muy bajo
29036,1.5,Muy bajo
29037,1.5,Medio
29038,1.5,Muy bajo
29039,1.5,Bajo
29040,1.5,Medio
29041,2,Muy bajo
29042,2,Muy bajo
29043,1.5,Muy bajo
29044,2,Muy bajo
29045,1.5,Bajo
29046,1.5,Medio
29047,1,Medio
29048,3,Muy bajo
29049,1.5,Muy bajo
29050,1.5,Bajo
29051,1.5,Bajo
29052,1.5,Bajo
29053,1.5,Muy bajo
29054,2,Muy bajo
29055,1.5,Bajo
29056,1.5,Bajo
29057,1.5,Bajo
29058,2,Bajo
29059,1.5,Bajo
29060,2,Bajo
30001,1,Alto
30002,1.5,Medio
30003,2,Medio
30004,1.5,Medio
30005,1.5,Alto
30006,1.5,Alto
30007,1,Alto
30008,1,Alto
30009,1.5,Medio
30010,2,Alto
30011,2,Bajo
30012,1,Alto
30013,2,Bajo
30014,1.5,Medio
30015,1.5,Medio
30016,2,Muy bajo
30017,1,Medio
30018,1,Muy alto
30019,1,Muy alto
30020,1,Muy alto
30021,1.5,Medio
30022,1.5,Alto
30023,1.5,Alto
30024,1.5,Alto
30025,1.5,Muy alto
30026,2,Medio
30027,1,Alto
30028,2,Muy bajo
30029,1,Muy alto
30030,2,Medio
30031,1,Alto
30032,2,Alto
30033,1.5,Alto
30034,2,Bajo
30035,1.5,Alto
30036,1.5,Alto
30037,1.5,Muy alto
30038,2,Bajo
30039,2.5,Muy bajo
30040,2,Bajo
30041,1,Alto
30042,1,Medio
30043,1.5,Alto
30044,2,Bajo
30045,2,Bajo
30046,1.5,Alto
30047,2,Alto
30048,2,Bajo
30049,1,Alto
30050,1.5,Muy alto
30051,1.5,Alto
30052,1.5,Medio
30053,1.5,Medio
30054,1.5,Alto
30055,1.5,Alto
30056,1,Muy alto
30057,1.5,Alto
30058,1.5,Muy alto
30059,1.5,Medio
30060,1.5,Alto
30061,2,Alto
30062,1.5,Alto
30063,1,Muy alto
30064,1,Muy alto
30065,1.5,Bajo
30066,1.5,Alto
30067,1.5,Muy alto
30068,2,Bajo
30069,1.5,Medio
30070,1.5,Muy alto
30071,2,Medio
30072,1.5,Alto
30073,1.5,Alto
30074,1.5,Bajo
30075,1.5,Alto
30076,1,Muy alto
30077,2,Medio
30078,1.5,Alto
30079,1.5,Alto
30080,1.5,Alto
30081,1.5,Medio
30082,1.5,Bajo
30083,1.5,Muy alto
30084,1,Alto
30085,2,Bajo
30086,1.5,Alto
30087,2,Muy bajo
30088,1.5,Alto
30089,2,Medio
30090,1.5,Medio
30091,1.5,Alto
30092,2,Medio
30093,1.5,Medio
30094,1.5,Alto
30095,1.5,Alto
30096,1,Medio
30097,2,Muy bajo
30098,1,Alto
30099,1.5,Alto
30100,1.5,Medio
30101,1.5,Medio
30102,2.5,Medio
30103,1.5,Muy alto
30104,1.5,Muy alto
30105,1.5,Bajo
30106,1.5,Alto
30107,1,Alto
30108,2,Bajo
30109,2,Medio
30110,1,Muy alto
30111,1.5,Medio
30112,1.5,Medio
30113,1,Alto
30114,1.5,Medio
30115,2,Bajo
30116,1.5,Medio
30117,1.5,Alto
30118,3,Muy bajo
30119,1.5,Alto
30120,1.5,Medio
30121,1.5,Alto
30122,1.5,Alto
30123,2,Medio
30124,2,Alto
30125,1.5,Medio
30126,1.5,Bajo
30127,1.5,Muy alto
30128,2,Medio
30129,1.5,Alto
30130,1.5,Alto
30131,2,Muy bajo
30132,1.5,Alto
30133,1.5,Bajo
30134,1.5,Bajo
30135,1.5,Alto
30136,1.5,Medio
30137,1,Muy alto
30138,2,Muy bajo
30139,1.5,Medio
30140,1,Alto
30141,2,Alto
30142,1.5,Alto
30143,2,Alto
30144,1.5,Alto
30145,1.5,Medio
30146,1,Alto
30147,1.5,Muy alto
30148,1.5,Medio
30149,1.5,Muy alto
30150,1.5,Alto
30151,1.5,Alto
30152,1.5,Alto
30153,1,Alto
30154,1,Alto
30155,2,Alto
30156,1,Alto
30157,1.5,Alto
30158,1.5,Alto
30159,1,Muy alto
30160,2,Alto
30161,1.5,Alto
30162,1,Alto
30163,1,Alto
30164,1.5,Medio
30165,1,Muy alto
30166,1,Alto
30167,1.5,Alto
30168,1.5,Muy alto
30169,1.5,Alto
30170,1,Muy alto
30171,1,Muy alto
30172,1.5,Alto
30173,1.5,Alto
30174,2,Bajo
30175,1.5,Alto
30176,1.5,Alto
30177,1,Alto
30178,1.5,Medio
30179,1,Medio
30180,1,Alto
30181,1.5,Medio
30182,1.5,Medio
30183,2,Medio
30184,1,Muy alto
30185,1.5,Alto
30186,1.5,Medio
30187,1,Alto
30188,1.5,Alto
30189,2.5,Bajo
30190,1,Medio
30191,1.5,Bajo
30192,1.5,Medio
30193,2.5,Muy bajo
30194,1.5,Alto
30195,1,Muy alto
30196,1.5,Medio
30197,1.5,Alto
30198,1,Muy alto
30199,1.5,Medio
30200,1,Alto
30201,1.5,Muy alto
30202,1,Muy alto
30203,1.5,Muy alto
30204,2,Bajo
30205,1.5,Medio
30206,2,Muy bajo
30207,2,Medio
30208,2,Bajo
30209,1.5,Alto
30210,1.5,Alto
30211,1.5,Medio
30212,1.5,Alto
31001,1,Alto
31002,1.5,Medio
31003,1.5,Alto
31004,1.5,Medio
31005,1,Medio
31006,1.5,Medio
31007,1.5,Medio
31008,1.5,Medio
31009,1.5,Alto
31010,1,Muy alto
31011,1.5,Medio
31012,1.5,Alto
31013,1.5,Bajo
31014,1,Alto
31015,1.5,Alto
31016,1.5,Alto
31017,1,Alto
31018,1,Alto
31019,1.5,Muy alto
31020,1.5,Medio
31021,1.5,Alto
31022,1.5,Muy alto
31023,1.5,Medio
31024,1.5,Alto
31025,1.5,Alto
31026,1.5,Medio
31027,1.5,Bajo
31028,1,Medio
31029,1.5,Medio
31030,1.5,Alto
31031,1,Medio
31032,1.5,Alto
31033,1.5,Alto
31034,1.5,Alto
31035,1.5,Alto
31036,1.5,Alto
31037,1.5,Alto
31038,2,Medio
31039,1.5,Medio
31040,2,Medio
31041,2.5,Bajo
31042,1.5,Medio
31043,1,Alto
31044,1.5,Alto
31045,1,Alto
31046,1.5,Alto
31047,1.5,Alto
31048,1.5,Alto
31049,1.5,Muy alto
31050,2,Muy bajo
31051,1,Medio
31052,2,Medio
31053,1.5,Medio
31054,1,Medio
31055,1.5,Alto
31056,2,Alto
31057,1.5,Medio
31058,2,Alto
31059,2,Bajo
31060,1,Alto
31061,1,Medio
31062,1.5,Alto
31063,1.5,Alto
31064,1,Alto
31065,1,Medio
31066,1.5,Alto
31067,1.5,Medio
31068,1.5,Medio
31069,1.5,Alto
31070,1.5,Medio
31071,1,Alto
31072,1,Alto
31073,1.5,Alto
31074,1.5,Alto
31075,1.5,Alto
31076,1.5,Alto
31077,1.5,Alto
31078,1.5,Alto
31079,2,Medio
31080,1.5,Alto
31081,1.5,Alto
31082,1.5,Medio
31083,1,Medio
31084,1.5,Alto
31085,1.5,Alto
31086,1,Alto
31087,1.5,Alto
31088,1,Alto
31089,2,Medio
31090,1.5,Alto
31091,1.5,Alto
31092,1.5,Muy alto
31093,1.5,Bajo
31094,1,Alto
31095,1.5,Medio
31096,2,Alto
31097,1.5,Alto
31098,1.5,Alto
31099,1.5,Alto
31100,1.5,Alto
31101,2,Bajo
31102,2,Alto
31103,1.5,Alto
31104,1.5,Alto
31105,1.5,Medio
31106,1,Alto
32001,1.5,Medio
32002,1,Alto
32003,1,Medio
32004,1.5,Medio
32005,2,Muy bajo
32006,1.5,Medio
32007,1.5,Bajo
32008,1.5,Bajo
32009,1.5,Medio
32010,2,Bajo
32011,1,Bajo
32012,1,Medio
32013,1.5,Bajo
32014,1.5,Medio
32015,1,Alto
32016,1.5,Medio
32017,2,Muy bajo
32018,1,Medio
32019,1.5,Bajo
32020,2,Muy bajo
32021,1,Alto
32022,2,Bajo
32023,1.5,Bajo
32024,2,Bajo
32025,1.5,Bajo
32026,1,Alto
32027,1,Alto
32028,1,Alto
32029,1.5,Bajo
32030,1,Bajo
32031,1.5,Medio
32032,1.5,Muy bajo
32033,1,Bajo
32034,2,Bajo
32035,1,Medio
32036,2,Bajo
32037,1.5,Medio
32038,1.5,Medio
32039,2,Bajo
32040,1.5,Medio
32041,1,Medio
32042,2,Medio
32043,1,Medio
32044,1.5,Medio
32045,1.5,Medio
32046,1,Medio
32047,1.5,Medio
32048,2,Bajo
32049,1.5,Medio
32050,1.5,Bajo
32051,1.5,Medio
32052,1.5,Bajo
32053,1.5,Bajo
32054,1.5,Medio
32055,1.5,Bajo
32056,3,Muy bajo
32057,1.5,Bajo
32058,1,Medio
